smiles,predict
CCOC1=CC(=C(C=C1)C2=CN(C3=NCCCCN23)C4=CC=C(C=C4)C5=CC=CC=C5OC)OC,2.476
CCOC1=CC(=C(C=C1)C2=CN(C3=[N+]2CCCN3)C4=CC=C(C=C4)C5=CC=CC=C5OC)OC,4.172
CCC1=C(C=CC(=C1)Cl)C2=CN(C3=[N+]2CCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,5.215
CCC1=CC=CC=C1C2=CC=C(C=C2)N3C=C([N+]4=C3NCCC4)C5=C(C=C(C=C5)Cl)CC,5.501
COC1=CC=CC=C1C2=CC=C(C=C2)N3C=C([N+]4=C3NCCC4)C5=C(C=C(C=C5)Cl)OC,4.998
CCC1=C(C=CC(=C1)Cl)C2=CN(C3=[N+]2CCCN3)C4=CC=C(C=C4)C5=CC=CC=C5OC,5.274
COC1=C(C=CC(=C1)Cl)C2=CN(C3=[N+]2CCCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,4.969
CCC1=CC=CC=C1C2=CN(C3=NCCCCN23)C4=CC=C(C=C4)C5=CC=CC=C5,3.346
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,4.547
CC1(CNC2=[N+](C=C(N2C1)C3=CC=C(C=C3)C4=CC=CC=C4)C5=CC=CC=C5OC)C,6.497
COC1=CC=CC=C1C2=CC=C(C=C2)N3C=C([N+]4=C3NCCC4)C5=CC=CC=C5OC,4.063
CNC1=CC=CC=C1C2=CC=C(C=C2)N3C=C([N+]4=C3NCCCC4)C5=CC=CC=C5OC,4.117
CNC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,4.451
CC(=O)C1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,4.524
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=C(C=C4)C5=CC=CC=C5N,3.693
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCN3)C4=CC=C(C=C4)N5CCCC5,3.319
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=C(C=C4)C5=CC=CC=C5,4.845
COC1=CC=CC=C1C2=CN(C3=NCC(CN23)O)C4=CC=C(C=C4)C5=CC=CC=C5,2.025
CC1(CN=C2N(C1)C(=CN2C3=CC=C(C=C3)C4=CC=CC=C4)C5=CC=CC=C5OC)C,3.911
COC1=CC=CC=C1[N+]2=C3NCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,4.887
COC1=CC=CC=C1C2=CN(C3=NCCCCN23)C4=CC=C(C=C4)OC5=CC=CC=C5,2.566
CC1=CC(=CC=C1)C2=CC(=CC=C2)N3C=C([N+]4=C3NCCCC4)C5=CC=CC=C5OC,5.73
COC1=CC=CC=C1[N+]2=C3NCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,5.202
COC1=CC=CC=C1C2=CC=C(C=C2)C3=C[N+](=C4N3CCCCN4)C5=CC=CC=C5OC,4.737
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=CC(=C4)C5=CC(=CC=C5)N,3.654
C=CC1=CC(=NC=C1)C2=CN(C3=NCCCCN23)C4=CC=C(C=C4)C5=CC=CC=C5,2.832
CCC1=CC=C(C=C1)N2C=C([N+]3=C2NCCCC3)C4=CC=CC=C4OC,4.862
C1CC[N+]2=C(NC1)N(C=C2C3=CC=CC=C3F)C4=CC=C(C=C4)C5=CC=CC=C5,4.961
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC=CC(=C4)C5=CC=CC=C5,4.965
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2NCCCC3)C4=CC=C(C=C4)C5=CC=CC=C5,4.645
COC1=CC=CC=C1C2=CN(C3=[N+]2CCCCN3)C4=CC(=CC(=C4)OC)OC,3.667
C1CCN2C(=CN(C2=NC1)C3=CC=C(C=C3)C4=CC=CC=C4)C5=CC=CC=C5N,1.952
CC(C)C1=CN=C(S1)[N+]2=C3NCCCCN3C(=C2)C4=CC=CC=C4OC,4.758
COC1=C(C=C(C=C1)NC(=O)C=C)C2=CN(C3=NCCCCN23)C4=CC=C(C=C4)C5=CC=CC=C5,2.853
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)Br,4.536
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,5.359
C#CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)N=[N+]=[N-],3.599
CCOC1=CC(=C(C=C1)[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5)OC,5.038
CCOC1=CC(=C(C=C1)[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)N(C)C)OC,3.418
CN(C)C1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,4.27
COC1=CC=CC=C1[N+]2=C3CCC4=CC=CC=C4N3C(=C2)C5=CC=C(C=C5)C6=CC=CC=C6,6.571
COC1=CC=CC=C1C2=CC=C(C=C2)C3=C[N+](=C4N3CCCCC4)C5=CC=CC=C5OC,4.813
COC1=CC=CC=C1[N+]2=C3CC4CCC(C4)CN3C(=C2)C5=CC=C(C=C5)C6=CC=CC=C6,6.115
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=C(C=C5)[N+](=O)[O-],4.668
C1CCC2=[N+](C=C(N2CC1)C3=CC=C(C=C3)C4=CC=CC=C4)C5=C6C(=CC=C5)OCCO6,5.392
CC1CCC(CC1)OC2=CC=C(C=C2)N3C=C([N+]4=C3CCCCC4)C5=CC=C(C=C5)N(C)C,4.07
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=NC=C5,4.361
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)N5CCCCC5,4.119
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)N(C)C,2.914
CN1CCC(CC1)OC2=CC=C(C=C2)C3=C[N+](=C4N3CCCCC4)C5=CC=CC=C5OC,2.813
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CO5,4.472
CCOC1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)C4=CC=CC=C4OC,4.044
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CN=CC=C5,4.081
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=C(C5=CC=CC=C5N4)Br,4.99
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)NC(=O)C=C,3.833
CC(=O)N1C2=C(C=C(C=C2)C3=C[N+](=C4N3CCCCC4)C5=CC=CC=C5OC)N(C1=O)C(=O)C,3.109
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=CC=C4OC,3.547
CCOC1=CC=C(C=C1)C2=CN(C3=[N+]2CCCCC3)C4=CC=C(C=C4)C5=CC=CC=C5,4.619
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)OC5=CC=CC=C5,4.486
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4CCC5(CCCCC5)CC4,4.647
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)C5CCCCC5,4.712
CN(C)C1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)C4=CC=CC=C4OC,3.174
CCOC1=CC=C(C=C1)[N+]2=C3CCCCCN3C(=C2)/C=C/C4=CC=CC=C4,4.265
CCN(C)C1=CC=C(C=C1)C2=CN(C3=[N+]2CCCCC3)C4=CC=C(C=C4)OCC,3.616
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)NS(=O)(=O)C,3.119
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)C5=CC=CC=C5OC,4.339
CCCN(C)C1=CC=C(C=C1)C2=CN(C3=[N+]2CCCCC3)C4=CC=C(C=C4)OCC,3.612
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C(=O)C5=CC=CC=C5,4.246
COC1=CC=CC=C1[N+]2=C3CCCC4=C(N3C(=C2)C5=CC=C(C=C5)C6=CC=CC=C6)C=CO4,6.599
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C(=O)COC5=C(C=CC=C5F)F,4.443
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC5=C(C=C4)NC(=O)N5,3.352
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC5=C(C=C4)OC(=O)C=C5,3.334
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)[N+](=O)[O-],3.866
CN(C)C1=CC=C(C=C1)/C=C/C2=C[N+](=C3N2CCCCC3)C4=CC=CC=C4OC,3.851
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)N5CCCC5,3.744
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC5=CC=CC=C5O4,4.363
C1CCC2=[N+](C=C(N2CC1)C3=CC=C(C=C3)C4=CC=CC=C4)CC5=CC=CC=C5,3.838
CCOC1=CC=C(C=C1)[N+]2=C3CCCCCN3C(=C2)C4CCCCC4,4.013
CCC[N+]1=C2CCCCCN2C(=C1)C3=CC=C(C=C3)C4=CC=CC=C4,2.994
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)C5=CC=C(C=C5)C(=O)OC,4.671
CN(C)C1=CC=C(C=C1)C2=C[N+](=C3N2C4=CC=CC=C4CCC3)C5=CC=CC=C5OC,4.745
CN(C)C(=O)C1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)C4=CC=CC=C4OC,2.569
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)NC,3.652
CC(=O)C1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)C4=CC=CC=C4OC,3.566
C1CCC2=[N+](C=C(N2CC1)C3=CC=C(C=C3)C4=CC=CC=C4)C5CCOCC5,2.945
C1CCC2=[N+](C=C(N2CC1)C3=CC=C(C=C3)C4=CC=CC=C4)C5=CC=CC=C5CN,3.153
C1CCC(CC1)[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,3.341
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)C5=CC=C(C=C5)C(=O)OCC,4.782
CCOC1=CC=C(C=C1)[N+]2=C3CCCCCN3C(=C2)/C=C/C4=CC=C(C=C4)N(C)C,3.786
C1CCC2=[N+](C=C(N2CC1)C3=CC=C(C=C3)C4=CC=CC=C4)C5CCC(=O)CC5,3.082
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCC4=CC=CC=C43)C5=CC=C(C=C5)N(C)C,4.91
COC1CCC(CC1)[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)C5=CC=CC=C5,2.871
CN(C)C1=CC=C(C=C1)C2=C[N+](=C3N2CCCCC3)C4CCCCC4,1.475
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)N(C)C(=O)C,3.008
CCOC1=CC=C(C=C1)N2C=C([N+]3=C2CCCCC3)C4=CC=C(C=C4)C5=CC=C(C=C5)C(=O)O,3.176
CCC(=O)N(C)C1=CC=C(C=C1)C2=CN(C3=[N+]2CCCCC3)C4=CC=C(C=C4)OCC,3.136
COC1=CC=CC=C1[N+]2=C3CCCCCN3C(=C2)C4=CC=CC=N4,3.277
c1cccc(c12)[nH]cc2SCC(=O)Nc3cccc(c34)cccc4,3.985
c1c(F)ccc(c1Cl)CSc(nn2)n(c23)ccn(c3=O)-c4cc(F)ccc4,4.046
O=C(N)c1cc(ccn1)O[C@@H](C2)C[N@H+]2Cc3ccnc(c34)cccc4,1.385
c1ccc(C#N)cc1C(=O)NC[C@](C2)(O)CCc(c23)cccc3,2.686
n1cn(CC)c(c12)ncnc2Nc3cc(SC)ccc3,2.94
c1c(C)nn(C)c1C(=O)N(CC2)CCN2c3c(n[nH]c(=O)c3)-c4ccccc4,1.337
O=C(N)Cc(cs1)nc1SCC(=O)Nc2ccc(Cl)cc2,2.384
c1c(Cl)ccc(c12)N(C(=O)[C@]2(O)CC(=O)C)CCOc3cc(C)ccc3,3.283
[O-][N+](=O)c1cc(ccc1)Cn(c(=O)cc2)cc2C(=O)N3[C@@H](C)CCc(c34)cc(F)cc4,3.546
CCCOc(cc1)ccc1N2C(=O)C[C@H](C2=O)Nc3ccc(Cl)cc3,3.299
O=C1CCc2cc(cc(c2N13)CC3)S(=O)(=O)NC[C@@](O)(c4sccc4)c5occc5,1.819
c1ccoc1CNc(n2)n(c(c23)c(=O)[nH]c(=O)n3C)Cc4cccc(c45)cccc5,3.57
c1ccccc1N2[C@@H](CCC2)CNC(=O)c3ccc(cc3)Cn4c[nH+]cc4,2.849
[NH2+]=C(N)Sc1cn(c(c12)cccc2)CCNC(=O)c(cc3C(F)(F)F)ccc3,3.225
O1COc(c12)ccc(c2)Cn(c3=O)c(=O)n(c(c34)cccn4)Cc5cccc(c56)cccc6,4.886
c1ccccc1CS(=O)(=O)Nc(cc2)cc(c23)CCC(=O)N3Cc4ccccc4,3.779
c1cccc(Cl)c1-c2n(N)c(nn2)SCC(=O)Nc(ccc3)cc3C(=O)C,3.37
O=c1ccc(C2CC2)nn1C[C@H](CC3)CC[N@@H+]3C[C@H](CC4)CN4C(=O)C,-0.242
c1cccc(c12)n(C)cc2NC(=O)NCCSc3c[nH]c(c34)cccc4,3.968
c1cccc(c1C(F)(F)F)NC(=O)NCc(cnc2)cc2-c3sccc3,3.993
c1cc(C)cc(NC2=O)c1Oc(c23)ccc(c3)NC(=O)c(c4C(F)(F)F)cccc4,4.773
c1ccc(C(F)(F)F)cc1-c(no2)nc2[C@@H]3C[N@@H+](C3)CC(=O)N,3.176
N1C(=O)C(C)(C)COc(c12)cc(cc2)NC(=O)c3cccc(c34)cccc4,4.528
c1cccc(OC)c1-c(ccc2=O)nn2C(C3)CN3C(=O)c4c(F)cncc4,1.463
[NH3+]C[C@@H](O)c1cccc(c12)cccc2,-0.012
COc(c1)ccc(c12)cc(c(=O)[nH]2)CCNC(=O)Cc3cccc(c34)cccc4,3.889
c1cc(F)ccc1-c(cs2)c(c23)ncn(c3=O)CC(=O)N(C)c4ccc(F)cc4,3.228
c1cccc(c12)nc(C)n2[C@@H]3C[N@H+](C3)Cc4c(F)cc(C#N)cc4,4.226
c1cc(Cl)sc1S(=O)(=O)Nc(c2)ccc(c23)CCN(C3)C(=O)c4occc4,3.058
c1cccc(F)c1NC(=O)Cn(c2=O)nc(n23)cc(C)nc3Nc(c4)ccc(F)c4C,3.475
c1cc(C)ccc1S(=O)(=O)N2CCCc(c23)cc(cc3)NS(=O)(=O)c4ccc(C)cc4,3.558
s1nnc(C)c1C(=O)N2CCC(CC2)CNC(=O)c3c(SC)cccc3,2.302
O=C(N)CSc1nc(cccc2)c2c(n13)nc(n3)CCn4c(C)[nH+]c(c45)cccc5,3.22
n1ccnn1C(C2)CN2C(=O)NCc3cccc(c34)cccc4,2.493
Cc1ccc(cc1F)NC(=O)c2cn(c(=O)cc2)Cc(cc3[N+]([O-])=O)ccc3,3.552
c1ccc(F)cc1CS(=O)(=O)Nc(cc2)cc(c23)CC(=O)N3CC,1.948
O=S(=O)(N)c1ccc(cc1)CCNC(=O)Nc2cn(C)c(c23)cccc3,2.088
c1ccsc1C2(CCCC2)C(=O)Nc(c3)ccc(c34)CCN(C4)C(=O)C,3.317
O=C1CNC(=O)N1C(C2)CN2S(=O)(=O)c3ccc(cc3)-c4cc(Cl)c(Cl)cc4,2.826
c1cccc(c1C(F)(F)F)C[N@H+]2C[C@H](C2)Oc(ccn3)cc3C(=O)N,2.834
c1cc(Cl)cc(Cl)c1C(=O)N2CC(C2)Oc(ccn3)cc3C(=O)N,1.941
C1CCCN1C(=O)Cn(n2)c(=O)n(c23)ccc(n3)Nc4ccc(F)cc4,2.166
COc(c1)ccc(c12)oc(\c(c2)C(=O)N)=[NH+]/c3cc(C#N)ccc3,3.248
c1ccoc1\C=N\n2c(N)c(c(c23)[nH+]c4c(n3)cccc4)C(=O)Nc5ccc(C)cc5,4.358
C1C[NH2+]CCN1c2n(cc[nH+]2)-c3ccccc3,-0.804
O=C1COC(=O)N1CC(C2)CN2C(=O)c3ccc(cc3)-c4ccc(F)cc4,1.255
O=C1CNC(=O)N1C(C2)CN2C(=O)c3ccc(cc3)-c4cscc4,1.095
c1ccsc1S(=O)(=O)N2CCCc(c23)cc(cc3)NC(=O)c(c4C(F)(F)F)cccc4,4.12
c1ccccc1CS(=O)(=O)Nc(c2)ccc(c23)CCN(C3)C(=O)c4sccc4,3.139
n1cc(F)cnc1N2C(=O)CN(CC2)C(=O)CSc3ccc(F)cc3,1.814
c1cccc(F)c1-n(cc[nH+]2)c2N3CCN(CC3)C(=O)c4cc(OC)c(cc4)OC,1.724
c1ccnn1-c2nn(c(=O)cc2)C[C@H](CC3)CC[N@@H+]3Cc4c(F)ccc(F)c4,2.233
c1c(F)ccc(F)c1C(=O)OCC(=O)NCc(c2C(F)(F)F)cccc2,3.987
c1ccc(OC)cc1Cn(c2=O)c(nc(c23)ccs3)SCC(=O)Nc4cc(F)ccc4,4.593
c1cccc(C(F)(F)F)c1C(=O)N2CC(C2)[N@H+]3CC[C@H](C(=O)N)CC3,0.583
[nH+]1ccn(CC)c1N2CCN(CC2)C(=O)c3c(F)cccc3F,0.916
c1cc(F)ccc1C(=N2)C(=S)NC23CC[NH2+]CC3,0.734
c1cc(C)ccc1NC(=O)Cn(c2=O)nc(n23)cc(C)nc3Nc4cc(C)cc(c4)C,4.917
n1snc(c12)ccc(c2)C(=O)NC[C@]3(O)CSCc(c34)cccc4,2.627
Cn1c(=O)[nH]c(=O)c(c12)n(CCOCC)c(n2)N3CC[NH+](CC3)Cc4cccc(c45)cccc5,2.914
c1cc(Cl)ccc1-n(c(=O)c(c23)cccc3)cc2-c4nc(no4)-c5ccc(C)cc5,4.301
c1cocc1-c2cn(nc2)CCNC(=O)Nc(cc3C(F)(F)F)ccc3,3.452
c1c(Br)ccc(c12)oc(\c(c2)C(=O)N)=[NH+]/c3cc(C(F)(F)F)ccc3Cl,4.527
C1CCC(=O)N1c2cc(ccc2)NC(=O)C(=O)NC[C@H]([NH+](C)C)c(c3)ccc(c34)OCC4,1.138
c1ccccc1[C@](C(F)(F)F)(O)CNC(=O)c(c2)ccc(c23)ncs3,3.486
c1cccc(c12)C[C@H](C)N2C(=O)Nc3cn(CCOC)c(c34)cccc4,2.971
CCC(=O)N(C1)CCc(c12)ccc(c2)NC(=O)Cc3sccc3,3.086
c1cccc(c12)[nH]c(n2)[C@@H](CCC3)CN3C(=O)c4c(C)cccc4,2.838
c1cccc(c1C(F)(F)F)C(=O)NC[C@@H](CC2)CC[N@H+]2Cc3cscc3,2.511
c1c[nH+]c(CC)n1C[C@@H](C2)C[N@@H+]2CC(=O)Nc3ccc(F)cc3,1.459
O=C1N(C)C(=O)c(c12)ccc(c2)NC(=O)c3cccc(c34)cccc4,2.95
c1cccc(c12)[nH+]c(n2C(C)C)N(C3)C[C@@H]([C@H]34)CN(C4)C(=O)c5c(=O)[nH]ccc5,2.57
c1ccoc1-c(ccc2=O)nn2CCCNC(=O)c3c(F)cc(F)cc3,2.218
c1nnnn1-c2cc(ccc2)-c(cs3)nc3Nc4c(F)cccc4,4.981
c1cncn1-c(n2)ccc(c23)cccc3NC(=O)c(c4C(F)(F)F)cccc4,3.943
C1C[N@@H+](C)CC[C@@]12NC(=O)c3c(N2C)cccc3,-0.307
Clc1cccc(c12)sc(\n2CC=C)=N/C(=O)c(cc3)ccc3S(=O)(=O)N4CCOCC4,3.958
c1ccccc1-n2ncc(c23)c(Nc4cc(Cl)ccc4)nc(n3)N5CCOCC5,4.536
c1ccccc1[C@](C(F)(F)F)(O)CNC(=O)CSc2ccc(F)cc2,3.999
Fc1ccc(cc1Cl)\[NH+]=c(\c(c2)C(=O)N)oc(c23)ccc4c3cccc4,4.065
O=C1N(C)C(=O)c(c12)ccc(c2)NC(=O)c(c3)c(OC)cc(c34)cccc4,3.516
C1COCCN1c(ncn2)cc2N3CC[NH+](CC3)Cc(c4C(F)(F)F)cccc4,3.542
c1cc(C)c(Cl)cc1-n2ncc(c23)c(ncn3)Nc4cc(Cl)ccc4,4.842
